"max_depth","eta","min_child_weight","subsample","colsample_bytree","correlation"
3,0.03,5,0.9,0.7,0.278411679286721
3,0.03,3,0.8,0.7,0.278411032996821
3,0.03,1,0.8,0.9,0.278397132633995
5,0.01,3,0.7,0.7,0.278396286655295
5,0.01,3,0.8,0.9,0.278380308407442
5,0.01,3,0.7,0.8,0.278320233356582
5,0.01,5,0.7,0.8,0.278272897625804
5,0.01,5,0.8,0.7,0.278249174855475
5,0.01,5,0.7,0.9,0.27824498852612
3,0.03,1,0.9,0.9,0.278222409411064
3,0.03,3,0.9,0.9,0.278218147337173
3,0.03,5,0.9,0.9,0.278191283440142
5,0.01,3,0.8,0.8,0.278190440494288
5,0.01,5,0.9,0.7,0.27814989880205
5,0.01,5,0.7,0.7,0.278139708970489
5,0.01,5,0.8,0.8,0.278081630090983
3,0.03,1,0.9,0.8,0.278031966636661
5,0.01,3,0.9,0.9,0.277938699918194
5,0.01,5,0.8,0.9,0.277830265314511
5,0.01,5,0.9,0.8,0.277613136150337
5,0.01,3,0.8,0.7,0.277488509615311
5,0.01,5,0.9,0.9,0.277188342894541
4,0.01,1,0.7,0.9,0.274268694290559
4,0.01,1,0.7,0.7,0.274228612840696
4,0.01,1,0.8,0.7,0.273968345224286
4,0.01,1,0.7,0.8,0.273957204825644
4,0.01,5,0.7,0.9,0.273819020361927
4,0.01,1,0.8,0.8,0.273629314633177
4,0.01,5,0.7,0.7,0.273407914739103
4,0.01,1,0.9,0.7,0.273393949599234
4,0.01,1,0.8,0.9,0.273387890908472
4,0.01,1,0.9,0.8,0.273351400242629
4,0.01,3,0.7,0.8,0.273288378125457
4,0.01,5,0.8,0.7,0.273271236733494
4,0.01,3,0.8,0.7,0.273268764980331
4,0.01,1,0.9,0.9,0.273233275278312
4,0.01,3,0.7,0.7,0.273187234888028
4,0.01,3,0.7,0.9,0.273097211373249
4,0.01,5,0.8,0.8,0.273000019506118
4,0.01,3,0.8,0.8,0.272939985448956
4,0.01,3,0.8,0.9,0.272931121655697
4,0.01,5,0.7,0.8,0.272889437687783
4,0.01,5,0.8,0.9,0.27281411077252
4,0.01,5,0.9,0.7,0.272708887292928
4,0.01,3,0.9,0.8,0.27262253166746
4,0.01,3,0.9,0.7,0.272582783298055
4,0.01,5,0.9,0.8,0.272525466616233
4,0.01,5,0.9,0.9,0.272128156159242
4,0.01,3,0.9,0.9,0.272033491039855
3,0.01,5,0.7,0.8,0.269144492787696
3,0.01,1,0.7,0.7,0.269136388028207
3,0.01,1,0.7,0.8,0.26898108922739
3,0.01,5,0.7,0.7,0.268831350711344
3,0.01,1,0.7,0.9,0.268788018734907
3,0.01,1,0.8,0.7,0.268662923391669
3,0.01,3,0.8,0.7,0.268530673111206
3,0.01,1,0.9,0.7,0.268529025083753
3,0.01,1,0.8,0.8,0.268521134890468
3,0.01,3,0.7,0.8,0.268518786276841
3,0.01,3,0.7,0.9,0.268500894762026
3,0.01,5,0.7,0.9,0.268498288853708
3,0.01,3,0.7,0.7,0.268497616033373
3,0.01,1,0.8,0.9,0.26844062799261
3,0.01,5,0.8,0.9,0.268381525796183
3,0.01,5,0.9,0.7,0.268264732208534
3,0.01,5,0.8,0.7,0.268198298607006
3,0.01,5,0.8,0.8,0.268166606161138
3,0.01,3,0.8,0.8,0.268012044332453
3,0.01,1,0.9,0.8,0.267960371875194
3,0.01,5,0.9,0.8,0.267808490994872
3,0.01,3,0.9,0.7,0.26778565056192
3,0.01,3,0.8,0.9,0.267703928432471
3,0.01,3,0.9,0.8,0.267663504433963
3,0.01,1,0.9,0.9,0.267581229441942
3,0.01,5,0.9,0.9,0.267337708291886
3,0.01,3,0.9,0.9,0.267330251990249
