id,name
642016,Daniel Robert
621002,Daniel Robertson
682177,Daniel Schneemann
623354,Daniel Zamora
543056,Danny Coulombe
694185,Danny De Andrade
518633,Danny Duffy
643376,Danny Jansen
664901,Danny Mendick
542454,Danny Santana
700673,Danny Wilkinson
664849,Danny Young
621020,Dansby Swanson
807276,Dante Nori
666204,Dany Jiménez
687231,Darell Hernaiz
669742,Darick Hall
829338,Dariel Fregio
573131,Darin Ruf
670241,Darius Vines
628345,Darién Núñez
671117,Darren Baker
670766,Darren McCaughan
503285,Darren O'Day
691811,Darvin Garcia
650382,Darwinzon Hernández
815598,Dasan Hill
641726,Daulton Jefferies
662139,Daulton Varsho
664294,Dauri Moreta
693808,Daury Arias
675915,David Bañuelos
670280,David Bednar
623520,David Bote
571527,David Buchanan
621311,David Dahl
701581,David Festa
664058,David Fletcher
571679,David Freitas
681807,David Fry
571735,David Hale
666152,David Hamilton
682073,David Hensley
605276,David Hess
800124,David Lorduy
676950,David MacKinnon
807968,David Matoma
641853,David McKay
688158,David Morgan
600944,David Paulino
444482,David Peralta
656849,David Peterson
475479,David Phelps
456034,David Price
502085,David Robertson
808818,David Smith
681584,David Villar
669721,Davis Daniel
680463,Davis Feldman
663436,Davis Martin
676914,Davis Schneider
673995,Davis Wendzel
608475,Dawel Lugo
695734,Daylen Lile
683459,Dayro Perez
678226,Daysbel Hernández
663662,Daz Cameron
665152,Dean Kremer
686539,Declan Cronin
673380,Dedniel Núñez
543829,Dee Strange-Gordon
665620,Deivi García
620453,Deivy Grullón
592261,Delino DeShields
476454,Dellin Betances
663770,Demarcus Evans
642701,Dennis Santana
660593,Denyi Reyes
672016,Denzel Clarke
694203,Denzer Guzman
500610,Deolis Guerra
605446,Dereck Rodríguez
682981,Derek Diamond
518618,Derek Dietrich
605233,Derek Fisher
656537,Derek Hill
502706,Derek Holland
571882,Derek Law
684846,Develson Aria
571918,Deven Marrero
808846,Devin Kirby
669471,Devin Mann
656970,Devin Smeltzer
682967,Devin Sweet
642207,Devin Williams
451594,Dexter Fowler
691277,Deyvison De Los Santos
544369,Didi Gregorius
800311,Didier Fuentes
682616,Diego Cartaya
650895,Diego Castillo
660636,Diego Castillo
691897,Diego Gonzalez
699305,Diego Mosquera
699111,Diego Omana
608650,Dietrich Enns
693307,Dillon Dingler
596027,Dillon Maples
596071,Dillon Peters
622253,Dillon Tate
605504,Dillon Thomas
599096,Dilson Herrera
659275,Dinelson Lamet
677690,Diosbel Arias
553988,Dixon Machado
687589,Dom Hamel
694336,Dom Johnson
624513,Dom Nuñez
642758,Domingo Acevedo
593334,Domingo Germán
682445,Domingo Gonzalez
642736,Domingo Leyba
570267,Domingo Santana
593619,Domingo Tapia
686527,Dominic Canzone
666150,Dominic Fletcher
608678,Dominic Leone
641884,Dominic Miroglio
806270,Dominic Perachi
807636,Dominic Scheffler
642086,Dominic Smith
664848,Donny Sands
456781,Donovan Solano
622268,Donovan Walton
680951,Doug Nikhazy
596720,Dovydas Neverauskas
686948,Drake Baldwin
666148,Drake Fellows
623454,Drew Anderson
682183,Drew Avans
460077,Drew Butera
656290,Drew Carlton
656403,Drew Ellis
687551,Drew Gilbert
571800,Drew Hutchison
623515,Drew Jackson
543482,Drew Maggi
686452,Drew Millas
814102,Drew Pestka
519141,Drew Pomeranz
656876,Drew Rasmussen
680723,Drew Rom
691011,Drew Romo
607968,Drew Rucinski
622098,Drew Smith
592767,Drew Smyly
805427,Drew Sommers
608716,Drew Steckenrider
669439,Drew Swift
689672,Drew Thorpe
572403,Drew VerHagen
671221,Drew Waters
686753,Drey Jameson
802357,Drue Hackenberg
621249,Duane Underwood
699911,Dugan Darnell
668752,Duke Ellis
701474,Duncan Davitt
808986,Duque Hebbert
643400,Dusten Knight
641583,Dustin Fowler
572863,Dustin Garneau
687957,Dustin Harris
669160,Dustin May
596105,Dwight Smith
687637,Dylan Beavers
605164,Dylan Bundy
666185,Dylan Carlson
656302,Dylan Cease
669395,Dylan Coleman
592229,Dylan Covey
686611,Dylan Crews
689266,Dylan Dodd
571670,Dylan Floro
815734,Dylan Jasso
669276,Dylan Lee
664238,Dylan Moore
681540,Dylan Neuse
805812,Dylan Questad
681916,Dylan Smith
660650,Dérmis García
687922,Easton Lucas
668834,Easton McGee
592696,Eddie Rosario
657193,Eddy Alvarez
658305,Edgar García
807756,Edgar Moreta
679346,Edgar Navarro
700337,Edgar Quero
650828,Edgar Santana
683618,Edgardo Henriquez
691453,Edgardo Ibarra
702750,Edinson Duran
450172,Edinson Vólquez
624641,Edmundo Sosa
666397,Edouard Julien
660825,Eduard Bazardo
500871,Eduardo Escobar
456488,Eduardo Núñez
593958,Eduardo Rodríguez
674285,Eduardo Salazar
674384,Eduarniel Núñez
666674,Edwar Colina
665795,Edward Cabrera
658668,Edward Olivares
621242,Edwin Díaz
429665,Edwin Encarnación
695835,Edwin Nuñez
621458,Edwin Ríos
670955,Edwin Uceta
666703,Eguy Rosario
501303,Ehire Adrianza
682769,Eiberson Castellano
678973,Eiker Huizi
660707,Elehuris Montero
801796,Eli Jones
669212,Eli Morgan
702501,Eli Serrano
681871,Eli Villalobos
642201,Eli White
700289,Eliander Alcalde
609274,Elier Hernandez
622694,Elieser Hernández
677322,Elijah Birdsong
685313,Elijah Dunham
803252,Eliseo Mota
519303,Elliot Soto
682829,Elly De La Cruz
650391,Eloy Jiménez
660730,Elvin Rodríguez
665660,Elvis Alvarado
462101,Elvis Andrus
665625,Elvis Peguero
553869,Elías Díaz
702708,Emaarion Boyd
676106,Emerson Hancock
466988,Emilio Bonifácio
641941,Emilio Pagán
800484,Eminen Flores
661403,Emmanuel Clase
642629,Emmanuel Ramirez
656896,Emmanuel Rivera
686218,Emmet Sheehan
801207,Emmett Olson
542255,Ender Inciarte
682848,Endy Rodríguez
646241,Enmanuel De Jesus
691927,Enmanuel Terrero
665839,Enmanuel Valdez
660600,Enoli Paredes
571771,Enrique Hernández
660853,Enyel De Los Santos
541640,Erasmo Ramírez
493472,Eric Campbell
606992,Eric Haase
621098,Eric Hanhold
543333,Eric Hosmer
641778,Eric Lauer
677804,Eric Mendez
679358,Eric Orze
827388,Eric Rataczak
696150,Eric Silva
519299,Eric Sogard
657770,Eric Stout
519346,Eric Thames
676572,Eric Wagaman
687066,Eric Yang
642233,Eric Yardley
657272,Erich Uelmen
684081,Erick Brito
602080,Erick Castillo
607200,Erick Fedde
625510,Erick Mejia
570481,Erik González
456124,Erik Kratz
669062,Erik Miller
681870,Erik Sabrowski
657024,Erik Swanson
676391,Ernie Clement
429722,Ervin Santana
699013,Esmerlyn Valdez
703204,Esmith Pineda
805076,Estarlin Escalante
807759,Estarling Mercado
606019,Esteban Quiroz
665923,Esteury Ruiz
664314,Estevan Florial
693732,Estibenzon Jimenez
822490,Ethan Lanthier
681799,Ethan Roberts
826942,Ethan Sloan
663629,Ethan Small
553993,Eugenio Suárez
693759,Euri Montero
683494,Euribiel Angeles
691587,Eury Pérez
694497,Evan Carter
687145,Evan Justice
667478,Evan Kravetz
681885,Evan Lee
446334,Evan Longoria
605359,Evan Marshall
679928,Evan McKendry
623465,Evan Phillips
681895,Evan Sisk
656967,Evan Skoug
681117,Evan Taylor
657108,Evan White
677592,Everson Pereira
677649,Ezequiel Duran
678662,Ezequiel Tovar
806593,Felipe Bello
679350,Felix Negueis
694025,Felix Reyes
472551,Fernando Abad
518585,Fernando Cruz
665487,Fernando Tatís
665154,Ford Proctor
657088,Forrest Wall
666215,Forrest Whitley
656492,Foster Griffin
674287,Frainger Aranguren
664285,Framber Valdez
614173,Franchy Cordero
465041,Francisco Cervelli
596019,Francisco Lindor
642336,Francisco Mejía
672839,Francisco Morales
660906,Francisco Pérez
682626,Francisco Álvarez
692284,Frank Elissalt
681464,Frank German
688507,Frank Nigro
643524,Frank Schwindel
